name,ttl,type,value
"log.geoking.fr","3600","NETLIFY","logbookcreator.netlify.app"
"www.geoking.fr","3600","NETLIFY","geoking.netlify.app"
"geoking.fr","3600","NETLIFY","geoking.netlify.app"
"log.geoking.fr","3600","NETLIFYv6","logbookcreator.netlify.app"
"www.geoking.fr","3600","NETLIFYv6","geoking.netlify.app"
"geoking.fr","3600","NETLIFYv6","geoking.netlify.app"
"logbook.geoking.fr","3600","NETLIFY","logbookcreator.netlify.app"
"logbook.geoking.fr","3600","NETLIFYv6","logbookcreator.netlify.app"
"geoking.fr","3600","TXT","google-site-verification=-7uu69-sZN9v5TAMbkuMbnuZiOlStwFimFy52Q-cG3E"
"geoking.fr","3600","MX","mx1.improvmx.com."
"geoking.fr","3600","MX","mx2.improvmx.com."
"geoking.fr","3600","TXT","v=spf1 include:spf.improvmx.com ~all"
"telma.geoking.fr","3600","NETLIFY","telma-train.netlify.app"
"telma.geoking.fr","3600","NETLIFYv6","telma-train.netlify.app"
"ludovicvalente.geoking.fr","3600","NETLIFY","ludovicvalente.netlify.app"
"ludovicvalente.geoking.fr","3600","NETLIFYv6","ludovicvalente.netlify.app"
"gaston.geoking.fr","3600","NETLIFY","gaston-fuel.netlify.app"
"gaston.geoking.fr","3600","NETLIFYv6","gaston-fuel.netlify.app"
"vincent.geoking.fr","3600","NETLIFY","vin-cent.netlify.app"
"vincent.geoking.fr","3600","NETLIFYv6","vin-cent.netlify.app"
"portfolio.geoking.fr","3600","NETLIFY","ludoo-portfolio.netlify.app"
"portfolio.geoking.fr","3600","NETLIFYv6","ludoo-portfolio.netlify.app"